"Tree","Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random","Pattern_Holds","Seed"
"large_balanced","OU_alpha5","mpnns",0.78891381475028,0.7144250873259,0.769521582696112,1,0.714285714285714,0.954045954045954,1,1,1000,FALSE,1
"large_ladder","Lambda0.5","ess_1",1.62016721814589,1.69138878514226,1.60979732286329,1,0.436563436563437,0.841158841158841,1,1,1000,FALSE,1
"large_ladder","Lambda0.5","ess_2",2.2029535443861,2.36569798588633,2.16597170321014,1,0.394605394605395,0.883116883116883,1,1,1000,FALSE,1
"large_ladder","Lambda0.5","K",0.362109383076082,0.482658546552137,0.746601945381978,0.5,0.254745254745255,0.571428571428571,1,1,1000,FALSE,1
"large_ladder","Lambda0.5","Lambda",0.987170512471785,0.997568441451591,0.994879541599457,0.5,0.121878121878122,0.545454545454545,1,1,1000,TRUE,1
"large_ladder","Lambda0.5","max_offdiag_cor",0.977928627473715,0.957390549253459,0.983439997774593,1,0.04995004995005,1,1,1,1000,FALSE,1
"large_ladder","Lambda0.5","mean_offdiag_cor",0.604872506300777,0.57804399825255,0.610565674382146,1,0.436563436563437,0.841158841158841,1,1,1000,FALSE,1
"large_ladder","Lambda0.5","MoransI",0.501316316744556,0.285155989330829,0.549007902615376,1,0.241758241758242,1,1,1,1000,FALSE,1
"large_ladder","Lambda0.5","mpnns",0.342723396821724,0.596901573324783,0.458329848179402,0.5,0.00799200799200799,0.002997002997003,1,1,1000,TRUE,1
"large_ladder","Lambda0.7","ess_1",1.61244717632623,1.69160284615262,1.60284773890621,1,0.437562437562438,0.842157842157842,1,1,1000,FALSE,1
"large_ladder","Lambda0.7","ess_2",2.1849931716791,2.36475339819456,2.1466414225427,1,0.393606393606394,0.884115884115884,1,1,1000,FALSE,1
"large_ladder","Lambda0.7","K",0.436266139615821,1.07800929866922,0.31040643637693,0.5,0.802197802197802,0.000999000999000999,1,1,1000,FALSE,1
"large_ladder","Lambda0.7","Lambda",0.97587404011203,0.999926686256414,0.991153029478047,0.5,0.0909090909090909,0.36963036963037,1,1,1000,TRUE,1
"large_ladder","Lambda0.7","max_offdiag_cor",0.978931658269552,0.955806152756534,0.986212702332,1,0.017982017982018,1,1,1,1000,FALSE,1
"large_ladder","Lambda0.7","mean_offdiag_cor",0.607922947098778,0.577966768614115,0.613646579023366,1,0.437562437562438,0.842157842157842,1,1,1000,FALSE,1
"large_ladder","Lambda0.7","MoransI",0.259773585565455,0.110559391479767,0.377727119774637,1,0.0669330669330669,1,1,1,1000,FALSE,1
"large_ladder","Lambda0.7","mpnns",0.419827096707172,0.493948192906921,0.447645688362628,0.5,0.295704295704296,0.175824175824176,1,1,1000,TRUE,1
"large_ladder","Lambda1","ess_1",1.59687910968377,1.6920342515885,1.58966718961211,1,0.438561438561439,0.846153846153846,1,1,1000,FALSE,1
"large_ladder","Lambda1","ess_2",2.14917430871674,2.36243029357833,2.10885764253592,1,0.391608391608392,0.894105894105894,1,1,1000,FALSE,1
"large_ladder","Lambda1","K",4.48942912043645,2.65698644815902,3.58309381740039,1,0.89010989010989,0.89010989010989,1,1,1000,FALSE,1
"large_ladder","Lambda1","Lambda",0.999926686256414,0.999398371866127,0.999606869175574,1,1,0.898101898101898,1,1,1000,FALSE,1
"large_ladder","Lambda1","max_offdiag_cor",0.980870766585836,0.953601206917425,0.992388424483532,1,0.001998001998002,1,1,1,1000,FALSE,1
"large_ladder","Lambda1","mean_offdiag_cor",0.614164108744405,0.577811184109914,0.619641269839612,1,0.438561438561439,0.846153846153846,1,1,1000,FALSE,1
"large_ladder","Lambda1","MoransI",0.480914181152271,0.372887953348459,0.521164208783009,1,0.313686313686314,0.966033966033966,1,1,1000,FALSE,1
"large_ladder","Lambda1","mpnns",0.327808075971248,0.495255849683709,0.430281867311776,0.5,0.004995004995005,0.0989010989010989,1,1,1000,TRUE,1
"large_ladder","OU_alpha0.2","ess_1",24.4270872354705,5.49447882607146,18.8319008324574,0.5,0.000999000999000999,0.000999000999000999,1,1,1000,TRUE,1
"large_ladder","OU_alpha0.2","ess_2",30.8457781175156,12.2435741447718,26.3040115818112,0.5,0.000999000999000999,0.000999000999000999,1,1,1000,TRUE,1
"large_ladder","OU_alpha0.2","K",0.079925832111396,0.86497756691939,0.0606885741493526,0.5,0.829170829170829,0.000999000999000999,1,1,1000,FALSE,1
"large_ladder","OU_alpha0.2","Lambda",0.666902759770479,0.999926686256414,0.750705155391006,0.5,0.271728271728272,0.127872127872128,1,1,1000,TRUE,1
"large_ladder","OU_alpha0.2","max_offdiag_cor",0.16407476203915,0.648338039881503,0.589963213280621,0.5,0.000999000999000999,0.0829170829170829,1,1,1000,TRUE,1
"large_ladder","OU_alpha0.2","mean_offdiag_cor",0.0100006810545336,0.155613815091093,0.0227644108700739,0.5,0.000999000999000999,0.000999000999000999,1,1,1000,TRUE,1
"large_ladder","OU_alpha0.2","MoransI",-0.0658290756379399,0.18812957133571,0.0442447957144695,0.5,0.622377622377622,0.026973026973027,1,1,1000,FALSE,1
"large_ladder","OU_alpha0.2","mpnns",0.484979901198547,0.562803004764833,0.49287116756243,0.5,0.445554445554446,0.0819180819180819,1,1,1000,TRUE,1
"large_ladder","OU_alpha1","ess_1",31.9960355980264,27.1877949839045,31.3504449854113,0.5,0.000999000999000999,0.000999000999000999,1,1,1000,TRUE,1
"large_ladder","OU_alpha1","ess_2",31.9999996420549,31.7251331375839,31.9692967536028,0.5,0.000999000999000999,0.000999000999000999,1,1,1000,TRUE,1
"large_ladder","OU_alpha1","K",0.0609201245105577,0.210783719585003,0.0605343587481675,0.5,0.682317682317682,0.017982017982018,1,1,1000,FALSE,1
"large_ladder","OU_alpha1","Lambda",0.967356232153292,0.708265277093444,0.71442081452115,1,0.685314685314685,0.677322677322677,1,1,1000,FALSE,1
"large_ladder","OU_alpha1","max_offdiag_cor",0.000129324548948217,0.114612262867809,0.0746741670594386,0.5,0.000999000999000999,0.0829170829170829,1,1,1000,TRUE,1
"large_ladder","OU_alpha1","mean_offdiag_cor",3.99686811954053e-06,0.00570963625280933,0.000669975273471318,0.5,0.000999000999000999,0.000999000999000999,1,1,1000,TRUE,1
"large_ladder","OU_alpha1","MoransI",0.00825813455764778,-0.0234333496321441,-0.0142033441290064,0.5,0.0889110889110889,0.765234765234765,1,1,1000,TRUE,1
"large_ladder","OU_alpha1","mpnns",0.611259442785149,0.605670199007351,0.608977272558379,1,0.524475524475524,0.517482517482518,1,1,1000,FALSE,1
"large_ladder","OU_alpha5","ess_1",32,31.9998611379355,31.9999863039284,0.5,0.000999000999000999,0.001998001998002,1,1,1000,TRUE,1
"large_ladder","OU_alpha5","ess_2",32,31.9999999984981,31.9999999998132,0.5,0.0589410589410589,0.048951048951049,1,1,1000,TRUE,1
"large_ladder","OU_alpha5","K",0.0834826694112421,0.118318901603199,0.0453393647416695,0.5,0.936063936063936,0.022977022977023,1,1,1000,FALSE,1
"large_ladder","OU_alpha5","Lambda",0.796313698271203,0.0364566478320687,0.60055234788972,1,0.515484515484515,0.834165834165834,1,1,1000,FALSE,1
"large_ladder","OU_alpha5","max_offdiag_cor",3.61747832397195e-20,1.9776773329781e-05,5.07618584756675e-06,0.5,0.000999000999000999,0.0829170829170829,1,1,1000,TRUE,1
"large_ladder","OU_alpha5","mean_offdiag_cor",3.82380474970228e-22,1.39982527284095e-07,1.38065412444287e-08,0.5,0.000999000999000999,0.001998001998002,1,1,1000,TRUE,1
"large_ladder","OU_alpha5","MoransI",-0.0499018963564082,-0.0628605032685864,-0.0298464412046827,0.5,0.436563436563437,0.462537462537463,1,1,1000,FALSE,1
"large_ladder","OU_alpha5","mpnns",0.802087129172591,0.77248632413545,0.767344812733345,1,0.851148851148851,0.445554445554446,1,1,1000,FALSE,1
"small_balanced","Lambda0.5","ess_1",3.39097811161894,2.25147926938599,3.0101363729538,0.5,0.172827172827173,0.00799200799200799,1,1,1000,TRUE,1
"small_balanced","Lambda0.5","ess_2",5.0341210772934,3.35921758223814,4.399069175592,0.5,0.0789210789210789,0.018981018981019,1,1,1000,TRUE,1
"small_balanced","Lambda0.5","K",0.624101551058775,0.483035074652117,0.750425633127021,1,0.443556443556444,0.839160839160839,1,1,1000,FALSE,1
"small_balanced","Lambda0.5","Lambda",0.139263983872965,0.999926686256414,0.44490103576117,0.5,0.44955044955045,0.264735264735265,1,1,1000,TRUE,1
"small_balanced","Lambda0.5","max_offdiag_cor",0.679569892473118,0.833333333333333,0.785434851479287,0.5,0.047952047952048,0.1998001998002,1,1,1000,TRUE,1
"small_balanced","Lambda0.5","mean_offdiag_cor",0.194171615583151,0.364745640076238,0.242258841156192,0.5,0.172827172827173,0.00799200799200799,1,1,1000,TRUE,1
"small_balanced","Lambda0.5","MoransI",-0.142173590335175,-0.128942269806942,-0.0912018562792797,1,0.657342657342657,0.412587412587413,1,1,1000,FALSE,1
"small_balanced","Lambda0.5","mpnns",0.444683585347171,0.698791978078479,0.491285423180603,0.5,0.33966033966034,0.012987012987013,1,1,1000,TRUE,1
"small_balanced","Lambda0.7","ess_1",3.50841565459141,2.25619055319269,3.06363390919233,0.5,0.141858141858142,0.00999000999000999,1,1,1000,TRUE,1
