"Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"OU_alpha1","mean_offdiag_cor",6.90813485367158e-06,0.00530628109297206,0.000631293117221976,1,1,1,1,1,1000
"OU_alpha1","max_offdiag_cor",0.00030632513839063,0.0914498849500429,0.0700909310371098,1,1,0.895104895104895,1,1,1000
"OU_alpha1","ess_1",31.993148597468,27.4797297218465,31.3870824525975,1,1,1,1,1,1000
"OU_alpha1","ess_2",31.999998541143,31.7679140849844,31.9725612344622,1,1,1,1,1,1000
"OU_alpha5","K",0.146250949021292,0.100642075634375,0.0544363583418561,0.5,0.0559440559440559,0.876123876123876,1,1,1000
"OU_alpha5","Lambda",0.923941144184393,7.33137435857406e-05,0.626191771364789,0.5,0.356643356643357,0.155844155844156,1,1,1000
"OU_alpha5","MoransI",-0.0815369666156533,-0.0663155446457156,-0.0336248778335612,0.5,0.331668331668332,0.565434565434565,1,1,1000
"OU_alpha5","mpnns",0.718946471308082,0.814962588112385,0.762026977136236,1,0.915084915084915,0.963036963036963,1,1,1000
"OU_alpha5","mean_offdiag_cor",2.38893239213701e-20,6.62143153621978e-08,1.18816486176333e-08,1,1,0.966033966033966,1,1,1000
"OU_alpha5","max_offdiag_cor",2.69720025422692e-18,6.39610842554048e-06,4.60698172135717e-06,1,1,0.895104895104895,1,1,1000
"OU_alpha5","ess_1",32,31.999934315534,31.9999882134315,1,1,0.966033966033966,1,1,1000
"OU_alpha5","ess_2",32,31.9999999997994,31.9999999996343,1,1,0.949050949050949,1,1,1000
