"Tree","Model","Pattern_K","Pattern_Lambda","Pattern_MoransI","Pattern_mpnns","Pattern_mean_offdiag_cor","Pattern_max_offdiag_cor","Pattern_ess_1","Pattern_ess_2","Clustered_Mean_K","Random_Mean_K","Dispersed_Mean_K","Clustered_Mean_Lambda","Random_Mean_Lambda","Dispersed_Mean_Lambda","Clustered_Mean_MoransI","Random_Mean_MoransI","Dispersed_Mean_MoransI","Clustered_Mean_mpnns","Random_Mean_mpnns","Dispersed_Mean_mpnns","Clustered_Mean_mean_offdiag_cor","Random_Mean_mean_offdiag_cor","Dispersed_Mean_mean_offdiag_cor","Clustered_Mean_max_offdiag_cor","Random_Mean_max_offdiag_cor","Dispersed_Mean_max_offdiag_cor","Clustered_Mean_ess_1","Random_Mean_ess_1","Dispersed_Mean_ess_1","Clustered_Mean_ess_2","Random_Mean_ess_2","Dispersed_Mean_ess_2"
"small_balanced","Lambda1",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.517985320956014,0.956234866332799,0.800995398506637,7.33137435857406e-05,0.391824665150334,7.33137435857406e-05,-0.394615655112275,-0.199807332692233,-0.283021654112374,0.374601537536631,0.479893054966678,0.322633362888202,0.198316324759439,0.211530354018114,0.161527291437907,0.666666666666667,0.661484276190986,0.447213595499958,2.78820986648375,2.75066245212864,3.03746562137448,3.54330708661417,3.59935832523277,4.13479429398387
"small_balanced","Lambda0.7",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.74266246092262,0.865340393821667,0.803194559829521,0.999926686256414,0.305532126330562,7.33137435857406e-05,0.0251575593932952,-0.208018982197879,-0.259628610585495,0.697201571480295,0.448015674546947,0.376409810518286,0.198316324759439,0.225927186901289,0.202995283128382,0.666666666666667,0.673478594595976,0.540862314490684,2.78820986648375,2.65600239410155,2.75941063087348,3.54330708661417,3.50314920251329,3.80364192514819
"small_balanced","OU_alpha0.2",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.926922078675402,0.917763310206111,0.870900712884506,0.999926686256414,0.424668004218776,0.426500856455066,-0.133509121822321,-0.209666106195074,-0.269853360796041,0.586236035477483,0.440948153737023,0.271788287159889,0.151287575115367,0.0958607765469112,0.0382025367041205,0.528223778932209,0.398641576338671,0.11130666340199,3.11497309539333,3.64692006795131,4.33722761185581,4.019015385354,4.50354892893114,4.94012298022557
"small_balanced","OU_alpha1",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.531749896019217,0.808674773971131,1.0410778034854,7.33137435857406e-05,0.344487722780341,0.999926686256414,-0.397017068308187,-0.248399545762584,-0.218900214552769,0.486414838594236,0.635776706704789,0.736910763688301,0.0339395203342973,0.0052461845292943,1.27638956298885e-05,0.133186667802665,0.0430704261027976,4.53847023832003e-05,4.4023459591969,4.89971862651656,4.9997447351201,4.92954105716036,4.99107536790142,4.99999999086154
"small_balanced","OU_alpha5",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.511556420905144,0.770922933931717,0.737298987126375,7.33137435857406e-05,0.259461436345758,7.33137435857406e-05,-0.394355372586196,-0.266766727922976,-0.279114429029924,0.630425326431227,0.730065216627276,0.678836128066015,9.14095752370937e-06,9.17089957952206e-07,3.88357829949959e-23,4.53999296689129e-05,8.92497423041537e-06,1.92874984796392e-22,4.99981718753385,4.9999816585481,5,4.99999999175539,4.99999999917548,5
"small_ladder","Lambda1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.725453398790767,0.865422169795179,0.599109845656661,7.33137435857406e-05,0.640994734222898,0.514380841067626,-0.261503364253153,-0.113050958989111,-0.180360618702605,0.353312269784577,0.435861675619047,0.646773304823507,0.229054945451196,0.361160419209361,0.393560154802993,0.610176789689507,0.84597878313796,0.831532534512114,2.60930403050676,2.08262378031836,1.94232037311671,3.57577309609124,2.59557803230985,2.41627849946542
"small_ladder","Lambda0.7",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.818667807249157,0.796671505575823,0.833073993332492,7.33137435857406e-05,0.577725013586356,0.655387158606642,-0.237739873374304,-0.122722714860678,-0.0572442105254845,0.427235518601517,0.478626331788598,0.548654513605975,0.248628759545066,0.350749089898461,0.375360461564757,0.647191303302764,0.816766422518816,0.817398788951469,2.50687505698721,2.1068460261601,1.99884718786392,3.42299250448358,2.67028496639704,2.52707336173591
"small_ladder","OU_alpha0.2",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,0.736953051265554,0.739665164667677,0.315754754106256,7.33137435857406e-05,0.621119575579547,0.999926686256414,-0.258045753518966,-0.133459032354239,-0.171874870563139,0.525718750172329,0.443439326984927,0.412603317547861,0.15197884915224,0.103223913698913,0.0483297667383234,0.425982741724686,0.420867891207513,0.144151270562269,3.10961634582568,3.58491458255329,4.18999422574021,4.23512502456604,4.4316852786082,4.88551173202513
"small_ladder","OU_alpha1",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1.96366668441326,0.476559693848285,0.327844063989593,0.999926686256414,0.442389178413719,0.999926686256414,-0.131636269883935,-0.256315956232714,-0.306869949144813,0.659593828410308,0.630390455690343,0.799169145448502,0.0150692705223752,0.00355286778216155,1.53684013915006e-05,0.0498379188928971,0.0276213474856755,6.22666417923476e-05,4.71574844393169,4.93091126484316,4.99969265086603,4.98953647787182,4.99659856742482,4.99999998389146
"small_ladder","OU_alpha5",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1.43887769679058,0.720370966556653,0.223593875900941,0.999926686256414,0.551961893848163,7.33137435857406e-05,-0.162121532949149,-0.196904095925899,-0.338645447551419,0.913753796928137,0.770730457329577,0.686454714732264,5.14934305129158e-08,1.91024484685672e-07,1.33871278445282e-22,3.2236263822444e-07,1.89987066237008e-06,9.36002951950605e-22,4.9999989701316,4.99999617961924,5,4.99999999999974,4.99999999972775,5
