"Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"OU_alpha1","max_offdiag_cor",2.37459078954268e-07,0.121296364174594,0.0434244687212413,1,1,0.987012987012987,1,1,1000
"OU_alpha1","ess_1",15.9999973118148,13.5128052853389,15.8438598266228,1,1,1,1,1,1000
"OU_alpha1","ess_2",15.9999999999996,15.8304835983059,15.9925996376485,1,1,1,1,1,1000
"OU_alpha5","K",0.0821443438358857,0.402386707819574,0.0699706321300603,1,0.253746253746254,0.999000999000999,1,1,1000
"OU_alpha5","Lambda",0.39736504217299,0.999926686256414,0.435719148879811,1,0.493506493506494,1,1,1,1000
"OU_alpha5","MoransI",-0.0510136410858244,-0.0387766996899638,-0.0716130696364725,0.5,0.731268731268731,0.214785214785215,1,1,1000
"OU_alpha5","mpnns",0.810913033210499,0.819174382575082,0.772511282191179,1,0.223776223776224,0.827172827172827,1,1,1000
"OU_alpha5","mean_offdiag_cor",1.2034334708968e-35,5.37734031649309e-07,1.5401365084331e-08,1,1,0.996003996003996,1,1,1000
"OU_alpha5","max_offdiag_cor",7.5499468576428e-34,2.62566653869337e-05,1.70127780992486e-06,1,1,0.99000999000999,1,1,1000
"OU_alpha5","ess_1",16,15.9998709448734,15.9999963036846,1,1,0.996003996003996,1,1,1000
"OU_alpha5","ess_2",16,15.9999999975521,15.9999999999127,1,1,0.993006993006993,1,1,1000
