"Model","Subset","Replicate","K","Lambda","Subset_Type"
"BM","clustered",86,NA,NA,"clustered"
"BM","clustered",87,NA,NA,"clustered"
"BM","clustered",88,NA,NA,"clustered"
"BM","clustered",89,NA,NA,"clustered"
"BM","clustered",90,NA,NA,"clustered"
"BM","clustered",91,NA,NA,"clustered"
"BM","clustered",92,NA,NA,"clustered"
"BM","clustered",93,NA,NA,"clustered"
"BM","clustered",94,NA,NA,"clustered"
"BM","clustered",95,NA,NA,"clustered"
"BM","clustered",96,NA,NA,"clustered"
"BM","clustered",97,NA,NA,"clustered"
"BM","clustered",98,NA,NA,"clustered"
"BM","clustered",99,NA,NA,"clustered"
"BM","clustered",100,NA,NA,"clustered"
"BM","random_1",1,NA,NA,"random"
"BM","random_1",2,NA,NA,"random"
"BM","random_1",3,NA,NA,"random"
"BM","random_1",4,NA,NA,"random"
"BM","random_1",5,NA,NA,"random"
"BM","random_1",6,NA,NA,"random"
"BM","random_1",7,NA,NA,"random"
"BM","random_1",8,NA,NA,"random"
"BM","random_1",9,NA,NA,"random"
"BM","random_1",10,NA,NA,"random"
"BM","random_1",11,NA,NA,"random"
"BM","random_1",12,NA,NA,"random"
"BM","random_1",13,NA,NA,"random"
"BM","random_1",14,NA,NA,"random"
"BM","random_1",15,NA,NA,"random"
"BM","random_1",16,NA,NA,"random"
"BM","random_1",17,NA,NA,"random"
"BM","random_1",18,NA,NA,"random"
"BM","random_1",19,NA,NA,"random"
"BM","random_1",20,NA,NA,"random"
"BM","random_1",21,NA,NA,"random"
"BM","random_1",22,NA,NA,"random"
"BM","random_1",23,NA,NA,"random"
"BM","random_1",24,NA,NA,"random"
"BM","random_1",25,NA,NA,"random"
"BM","random_1",26,NA,NA,"random"
"BM","random_1",27,NA,NA,"random"
"BM","random_1",28,NA,NA,"random"
"BM","random_1",29,NA,NA,"random"
"BM","random_1",30,NA,NA,"random"
"BM","random_1",31,NA,NA,"random"
"BM","random_1",32,NA,NA,"random"
"BM","random_1",33,NA,NA,"random"
"BM","random_1",34,NA,NA,"random"
"BM","random_1",35,NA,NA,"random"
"BM","random_1",36,NA,NA,"random"
"BM","random_1",37,NA,NA,"random"
"BM","random_1",38,NA,NA,"random"
"BM","random_1",39,NA,NA,"random"
"BM","random_1",40,NA,NA,"random"
"BM","random_1",41,NA,NA,"random"
"BM","random_1",42,NA,NA,"random"
"BM","random_1",43,NA,NA,"random"
"BM","random_1",44,NA,NA,"random"
"BM","random_1",45,NA,NA,"random"
"BM","random_1",46,NA,NA,"random"
"BM","random_1",47,NA,NA,"random"
"BM","random_1",48,NA,NA,"random"
"BM","random_1",49,NA,NA,"random"
"BM","random_1",50,NA,NA,"random"
"BM","random_1",51,NA,NA,"random"
"BM","random_1",52,NA,NA,"random"
"BM","random_1",53,NA,NA,"random"
"BM","random_1",54,NA,NA,"random"
"BM","random_1",55,NA,NA,"random"
"BM","random_1",56,NA,NA,"random"
"BM","random_1",57,NA,NA,"random"
"BM","random_1",58,NA,NA,"random"
"BM","random_1",59,NA,NA,"random"
"BM","random_1",60,NA,NA,"random"
"BM","random_1",61,NA,NA,"random"
"BM","random_1",62,NA,NA,"random"
"BM","random_1",63,NA,NA,"random"
"BM","random_1",64,NA,NA,"random"
"BM","random_1",65,NA,NA,"random"
"BM","random_1",66,NA,NA,"random"
"BM","random_1",67,NA,NA,"random"
"BM","random_1",68,NA,NA,"random"
"BM","random_1",69,NA,NA,"random"
"BM","random_1",70,NA,NA,"random"
"BM","random_1",71,NA,NA,"random"
"BM","random_1",72,NA,NA,"random"
"BM","random_1",73,NA,NA,"random"
"BM","random_1",74,NA,NA,"random"
"BM","random_1",75,NA,NA,"random"
"BM","random_1",76,NA,NA,"random"
"BM","random_1",77,NA,NA,"random"
"BM","random_1",78,NA,NA,"random"
"BM","random_1",79,NA,NA,"random"
"BM","random_1",80,NA,NA,"random"
"BM","random_1",81,NA,NA,"random"
"BM","random_1",82,NA,NA,"random"
"BM","random_1",83,NA,NA,"random"
"BM","random_1",84,NA,NA,"random"
"BM","random_1",85,NA,NA,"random"
"BM","random_1",86,NA,NA,"random"
"BM","random_1",87,NA,NA,"random"
"BM","random_1",88,NA,NA,"random"
"BM","random_1",89,NA,NA,"random"
"BM","random_1",90,NA,NA,"random"
"BM","random_1",91,NA,NA,"random"
"BM","random_1",92,NA,NA,"random"
"BM","random_1",93,NA,NA,"random"
"BM","random_1",94,NA,NA,"random"
"BM","random_1",95,NA,NA,"random"
"BM","random_1",96,NA,NA,"random"
"BM","random_1",97,NA,NA,"random"
"BM","random_1",98,NA,NA,"random"
"BM","random_1",99,NA,NA,"random"
"BM","random_1",100,NA,NA,"random"
"BM","random_2",1,NA,NA,"random"
"BM","random_2",2,NA,NA,"random"
"BM","random_2",3,NA,NA,"random"
"BM","random_2",4,NA,NA,"random"
"BM","random_2",5,NA,NA,"random"
"BM","random_2",6,NA,NA,"random"
"BM","random_2",7,NA,NA,"random"
"BM","random_2",8,NA,NA,"random"
"BM","random_2",9,NA,NA,"random"
"BM","random_2",10,NA,NA,"random"
"BM","random_2",11,NA,NA,"random"
"BM","random_2",12,NA,NA,"random"
"BM","random_2",13,NA,NA,"random"
"BM","random_2",14,NA,NA,"random"
"BM","random_2",15,NA,NA,"random"
"BM","random_2",16,NA,NA,"random"
"BM","random_2",17,NA,NA,"random"
"BM","random_2",18,NA,NA,"random"
"BM","random_2",19,NA,NA,"random"
"BM","random_2",20,NA,NA,"random"
"BM","random_2",21,NA,NA,"random"
"BM","random_2",22,NA,NA,"random"
"BM","random_2",23,NA,NA,"random"
"BM","random_2",24,NA,NA,"random"
"BM","random_2",25,NA,NA,"random"
"BM","random_2",26,NA,NA,"random"
"BM","random_2",27,NA,NA,"random"
"BM","random_2",28,NA,NA,"random"
"BM","random_2",29,NA,NA,"random"
"BM","random_2",30,NA,NA,"random"
"BM","random_2",31,NA,NA,"random"
"BM","random_2",32,NA,NA,"random"
"BM","random_2",33,NA,NA,"random"
"BM","random_2",34,NA,NA,"random"
"BM","random_2",35,NA,NA,"random"
"BM","random_2",36,NA,NA,"random"
"BM","random_2",37,NA,NA,"random"
"BM","random_2",38,NA,NA,"random"
"BM","random_2",39,NA,NA,"random"
