"Latin name","C512","C256","C128","C64","C32"
"Microtus schidlovskii","Yes","No","No","No","No"
"Microtus socialis","Yes","Yes","Yes","Yes","Yes"
"Microtus subterraneus","Yes","Yes","No","No","No"
"Microtus tatricus","Yes","Yes","Yes","No","No"
"Microtus thomasi","Yes","Yes","Yes","Yes","Yes"
"Microtus townsendii","Yes","Yes","No","No","No"
"Microtus transcaspicus","Yes","No","No","No","No"
"Microtus umbrosus","Yes","Yes","Yes","Yes","Yes"
"Microtus xanthognathus","Yes","Yes","No","No","No"
"Mindomys hammondi","Yes","No","No","No","No"
"Myodes andersoni","Yes","No","No","No","No"
"Myodes californicus","Yes","No","No","No","No"
"Myodes centralis","Yes","Yes","Yes","Yes","No"
"Myodes gapperi","Yes","No","No","No","No"
"Myodes glareolus","Yes","No","No","No","No"
"Myodes regulus","Yes","No","No","No","No"
"Myodes rex","Yes","No","No","No","No"
"Myodes rufocanus","Yes","Yes","No","No","No"
"Myodes rutilus","Yes","Yes","Yes","No","No"
"Myodes smithii","Yes","Yes","Yes","No","No"
"Myopus schisticolor","Yes","Yes","Yes","No","No"
"Neacomys dubosti","Yes","No","No","No","No"
"Neacomys guianae","Yes","Yes","No","No","No"
"Neacomys minutus","Yes","No","No","No","No"
"Neacomys musseri","Yes","No","No","No","No"
"Neacomys paracou","Yes","Yes","No","No","No"
"Neacomys spinosus","Yes","Yes","Yes","Yes","Yes"
"Necromys amoenus","Yes","No","No","No","No"
"Necromys lactens","Yes","Yes","Yes","Yes","No"
"Necromys lasiurus","Yes","No","No","No","No"
"Necromys lenguarum","Yes","Yes","Yes","Yes","Yes"
"Necromys obscurus","Yes","Yes","No","No","No"
"Necromys temchuki","Yes","Yes","No","No","No"
"Necromys urichi","Yes","No","No","No","No"
"Nectomys apicalis","Yes","Yes","No","No","No"
"Nectomys squamipes","Yes","Yes","No","No","No"
"Neodon fuscus","Yes","Yes","No","No","No"
"Neodon irene","Yes","No","No","No","No"
"Neodon leucurus","Yes","Yes","Yes","No","No"
"Neodon linzhiensis","Yes","Yes","Yes","Yes","Yes"
"Neodon sikimensis","Yes","No","No","No","No"
"Neofiber alleni","Yes","Yes","Yes","Yes","No"
"Neotoma albigula","Yes","No","No","No","No"
"Neotoma angustapalata","Yes","Yes","No","No","No"
"Neotoma bryanti","Yes","Yes","No","No","No"
"Neotoma cinerea","Yes","Yes","Yes","Yes","No"
"Neotoma devia","Yes","No","No","No","No"
"Neotoma floridana","Yes","No","No","No","No"
"Neotoma fuscipes","No","No","No","No","No"
"Neotoma goldmani","Yes","No","No","No","No"
"Neotoma lepida","Yes","No","No","No","No"
"Neotoma leucodon","Yes","No","No","No","No"
"Neotoma macrotis","Yes","No","No","No","No"
"Neotoma magister","Yes","Yes","No","No","No"
"Neotoma mexicana","Yes","Yes","Yes","No","No"
"Neotoma micropus","Yes","Yes","No","No","No"
"Neotoma stephensi","Yes","No","No","No","No"
"Neotomodon alstoni","Yes","No","No","No","No"
"Neotomys ebriosus","Yes","No","No","No","No"
"Nephelomys albigularis","Yes","Yes","Yes","No","No"
"Nephelomys keaysi","Yes","Yes","No","No","No"
"Nephelomys levipes","Yes","Yes","Yes","Yes","No"
"Nesoryzomys fernandinae","Yes","Yes","No","No","No"
"Nesoryzomys narboroughi","Yes","Yes","No","No","No"
"Nesoryzomys swarthi","Yes","Yes","Yes","Yes","Yes"
"Neusticomys monticolus","Yes","No","No","No","No"
"Notiomys edwardsii","Yes","Yes","Yes","No","No"
"Nyctomys sumichrasti","Yes","No","No","No","No"
"Ochrotomys nuttalli","Yes","No","No","No","No"
"Oecomys auyantepui","No","No","No","No","No"
"Oecomys bicolor","Yes","No","No","No","No"
"Oecomys catherinae","No","No","No","No","No"
"Oecomys cleberi","Yes","Yes","No","No","No"
"Oecomys concolor","Yes","No","No","No","No"
"Oecomys mamorae","No","No","No","No","No"
"Oecomys paricola","Yes","No","No","No","No"
"Oecomys rex","Yes","No","No","No","No"
"Oecomys roberti","Yes","No","No","No","No"
"Oecomys rutilus","Yes","No","No","No","No"
"Oecomys superans","Yes","No","No","No","No"
"Oecomys trinitatis","No","No","No","No","No"
"Oligoryzomys andinus","No","No","No","No","No"
"Oligoryzomys brendae","Yes","No","No","No","No"
"Oligoryzomys chacoensis","Yes","No","No","No","No"
"Oligoryzomys delticola","Yes","Yes","No","No","No"
"Oligoryzomys destructor","Yes","Yes","Yes","Yes","Yes"
"Oligoryzomys eliurus","Yes","Yes","No","No","No"
"Oligoryzomys flavescens","Yes","No","No","No","No"
"Oligoryzomys fornesi","No","No","No","No","No"
"Oligoryzomys fulvescens","Yes","No","No","No","No"
"Oligoryzomys longicaudatus","Yes","Yes","No","No","No"
"Oligoryzomys magellanicus","Yes","Yes","Yes","No","No"
