"Subset membership","Common name","Latin name","Family"
"Neither","American Hog-nosed Skunk","Conepatus leuconotus","MEPHITIDAE"
"Neither","Hooded Skunk","Mephitis macroura","MEPHITIDAE"
"Neither","Striped Skunk","Mephitis mephitis","MEPHITIDAE"
"Neither","Sunda Stink Badger","Mydaus javanensis","MEPHITIDAE"
"Neither","Western Spotted Skunk","Spilogale gracilis","MEPHITIDAE"
"Neither","Alleghanian Spotted Skunk","Spilogale putorius","MEPHITIDAE"
"Neither","African Clawless Otter","Aonyx capensis","MUSTELIDAE"
"Neither","Asian Small-clawed Otter","Aonyx cinerea","MUSTELIDAE"
"Neither","Greater Hog Badger","Arctonyx collaris","MUSTELIDAE"
"Neither","Tayra","Eira barbara","MUSTELIDAE"
"Neither","Sea Otter","Enhydra lutris","MUSTELIDAE"
"Neither","Lesser Grison","Galictis cuja","MUSTELIDAE"
"Neither","Greater Grison","Galictis vittata","MUSTELIDAE"
"Neither","Wolverine","Gulo gulo","MUSTELIDAE"
"Neither","Saharan Striped Polecat","Ictonyx libyca","MUSTELIDAE"
"Neither","Zorilla","Ictonyx striatus","MUSTELIDAE"
"Neither","North American River Otter","Lontra canadensis","MUSTELIDAE"
"Neither","Marine Otter","Lontra felina","MUSTELIDAE"
"Neither","Central Neotropical River Otter","Lontra longicaudis","MUSTELIDAE"
"Neither","Southern River Otter","Lontra provocax","MUSTELIDAE"
"Neither","Eurasian Otter","Lutra lutra","MUSTELIDAE"
"Neither","Spotted-necked Otter","Lutra maculicollis","MUSTELIDAE"
"Neither","Hairy-nosed Otter","Lutra sumatrana","MUSTELIDAE"
"Neither","Smooth-coated Otter","Lutrogale perspicillata","MUSTELIDAE"
"Neither","Patagonian Weasel","Lyncodon patagonicus","MUSTELIDAE"
"Neither","American Marten","Martes americana","MUSTELIDAE"
"Neither","Yellow-throated Marten","Martes flavigula","MUSTELIDAE"
"Neither","Stone Marten","Martes foina","MUSTELIDAE"
"Neither","European Pine Marten","Martes martes","MUSTELIDAE"
"Neither","Japanese Marten","Martes melampus","MUSTELIDAE"
"Neither","Fisher","Martes pennanti","MUSTELIDAE"
"Neither","Sable","Martes zibellina","MUSTELIDAE"
"Neither","Japanese Badger","Meles anakuma","MUSTELIDAE"
"Neither","Asian Badger","Meles leucurus","MUSTELIDAE"
"Neither","Honey Badger","Mellivora capensis","MUSTELIDAE"
"Neither","Small-toothed Ferret-badger","Melogale moschata","MUSTELIDAE"
"Neither","Large-toothed Ferret-badger","Melogale personata","MUSTELIDAE"
"Neither","Amazon Weasel","Mustela africana","MUSTELIDAE"
"Neither","Altai Mountain Weasel","Mustela altaica","MUSTELIDAE"
"Neither","Beringian Ermine","Mustela erminea","MUSTELIDAE"
"Neither","Steppe Polecat","Mustela eversmanii","MUSTELIDAE"
"Neither","Colombian Weasel","Mustela felipei","MUSTELIDAE"
"Neither","Long-tailed Weasel","Mustela frenata","MUSTELIDAE"
"Neither","Japanese Weasel","Mustela itatsi","MUSTELIDAE"
"Neither","Yellow-bellied Weasel","Mustela kathiah","MUSTELIDAE"
"Neither","European Mink","Mustela lutreola","MUSTELIDAE"
"Neither","Black-footed Ferret","Mustela nigripes","MUSTELIDAE"
"Neither","Least Weasel","Mustela nivalis","MUSTELIDAE"
"Neither","Malay Weasel","Mustela nudipes","MUSTELIDAE"
"Neither","European Polecat","Mustela putorius","MUSTELIDAE"
"Neither","Siberian Weasel","Mustela sibirica","MUSTELIDAE"
"Neither","Back-striped Weasel","Mustela strigidorsa","MUSTELIDAE"
"Neither","American Mink","Neovison vison","MUSTELIDAE"
"Neither","African Striped Weasel","Poecilogale albinucha","MUSTELIDAE"
"Neither","Giant Otter","Pteronura brasiliensis","MUSTELIDAE"
"Neither","Marbled Polecat","Vormela peregusna","MUSTELIDAE"
