"Analysis","Pool","N","s","Subset_Type","Metric","Observed","Baseline_Mean","Baseline_SD","Baseline_Q025","Baseline_Q975","SES","P_value","Tail","Covariance_Model","Covariance_Param","Covariance_Param_Label"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","off_mean",0.00224079701022355,0.0381986498854817,0.0186248822139577,0.0138768582665414,0.0865905251695335,-1.93063518266499,0.000999000999000999,"lower","OU",0.25,"half_life_frac=0.25"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","rmax",0.0205516826605788,0.319140528541192,0.17556313523623,0.0922717368068554,0.728378640342095,-1.70074910930957,0.000999000999000999,"lower","OU",0.25,"half_life_frac=0.25"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","neff_mean",7.87688668608623,6.51086686725484,0.506263112147111,5.38516834289271,7.33348770869155,2.69824086735842,0.000999000999000999,"upper","OU",0.25,"half_life_frac=0.25"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","off_mean",0.60686907444002,0.0381986498854817,0.0186248822139577,0.0138768582665414,0.0865905251695335,30.5328333367054,0.000999000999000999,"upper","OU",0.25,"half_life_frac=0.25"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","rmax",0.910609705783004,0.319140528541192,0.17556313523623,0.0922717368068554,0.728378640342095,3.3689827676292,0.003996003996004,"upper","OU",0.25,"half_life_frac=0.25"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","neff_mean",1.60859026717309,6.51086686725484,0.506263112147111,5.38516834289271,7.33348770869155,-9.68325853189406,0.000999000999000999,"lower","OU",0.25,"half_life_frac=0.25"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","off_mean",0.0121943014986573,0.0954946009619412,0.0360835845095735,0.0437941648869344,0.185281759419256,-2.30853726411751,0.000999000999000999,"lower","OU",0.5,"half_life_frac=0.5"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","rmax",0.0998756707829274,0.516868404745055,0.160154635503408,0.263513697495044,0.844341749863293,-2.60368819579533,0.000999000999000999,"lower","OU",0.5,"half_life_frac=0.5"
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","neff_mean",7.3793052437844,5.17331413779952,0.6247606483055,3.9110752429793,6.2979781331659,3.53093798716045,0.000999000999000999,"upper","OU",0.5,"half_life_frac=0.5"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","off_mean",0.762035350072171,0.0954946009619412,0.0360835845095735,0.0437941648869344,0.185281759419256,18.4721323607245,0.000999000999000999,"upper","OU",0.5,"half_life_frac=0.5"
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","rmax",0.951404439270423,0.516868404745055,0.160154635503408,0.263513697495044,0.844341749863293,2.71322795721465,0.003996003996004,"upper","OU",0.5,"half_life_frac=0.5"
