"Tree","Model","Metric","Mean_Dispersed","Mean_Clustered","Mean_Random","P_Dispersed_vs_Clustered","P_Dispersed_vs_Random","P_Random_vs_Clustered","N_Dispersed","N_Clustered","N_Random"
"large_ladder","OU_alpha0.2","MoransI",-0.0150315417673204,0.0760479241016382,0.0755649121065059,0.5,0.115884115884116,0.506493506493506,1,1,1000
"large_ladder","OU_alpha0.2","mpnns",0.431418545899055,0.54251209815075,0.495989000202841,0.5,0.0789210789210789,0.152847152847153,1,1,1000
"large_ladder","OU_alpha1","ess_1",31.9969092891875,27.3656083470436,31.3530513023071,0.5,0.000999000999000999,0.000999000999000999,1,1,1000
"large_ladder","OU_alpha1","ess_2",31.9999998050901,31.746418705433,31.9702451976487,0.5,0.000999000999000999,0.000999000999000999,1,1,1000
"large_ladder","OU_alpha1","K",0.0661833437777327,0.16047407411713,0.0474535008136888,0.5,0.871128871128871,0.018981018981019,1,1,1000
"large_ladder","OU_alpha1","Lambda",0.928946732524748,0.157783151726912,0.613793223554849,1,0.708291708291708,0.797202797202797,1,1,1000
"large_ladder","OU_alpha1","max_offdiag_cor",9.13738270378053e-05,0.0988321800783042,0.0722309526155102,0.5,0.000999000999000999,0.0959040959040959,1,1,1000
"large_ladder","OU_alpha1","mean_offdiag_cor",3.11593685155834e-06,0.00546293373193835,0.000667119782411962,0.5,0.000999000999000999,0.000999000999000999,1,1,1000
"large_ladder","OU_alpha1","MoransI",-0.0609801574018591,-0.0309160859377878,-0.0252073943157026,1,0.587412587412587,0.691308691308691,1,1,1000
"large_ladder","OU_alpha1","mpnns",0.601244795613773,0.64278038101999,0.602190929072235,0.5,0.494505494505495,0.188811188811189,1,1,1000
"large_ladder","OU_alpha5","ess_1",32,31.9999120328777,31.9999893855483,0.5,0.000999000999000999,0.00999000999000999,1,1,1000
"large_ladder","OU_alpha5","ess_2",32,31.9999999996115,31.9999999998544,0.5,0.041958041958042,0.025974025974026,1,1,1000
"large_ladder","OU_alpha5","K",0.0510854813482332,0.118754632553989,0.046266608639832,0.5,0.735264735264735,0.02997002997003,1,1,1000
"large_ladder","OU_alpha5","Lambda",7.33137435857406e-05,0.521170923951009,0.613242005062067,0.5,0.127872127872128,0.653346653346653,1,1,1000
"large_ladder","OU_alpha5","max_offdiag_cor",6.36955474892744e-21,9.42956988078779e-06,3.67832265758313e-06,0.5,0.000999000999000999,0.103896103896104,1,1,1000
"large_ladder","OU_alpha5","mean_offdiag_cor",8.18358926237726e-23,8.86767783178283e-08,1.07000643253955e-08,0.5,0.000999000999000999,0.00999000999000999,1,1,1000
"large_ladder","OU_alpha5","MoransI",-0.0246140345289612,-0.030033180897375,-0.0420716955864179,0.5,0.233766233766234,0.725274725274725,1,1,1000
"large_ladder","OU_alpha5","mpnns",0.774518846573474,0.784434977787207,0.770298551702442,0.5,0.552447552447552,0.331668331668332,1,1,1000
"small_balanced","Lambda0.5","ess_1",3.476214121596,2.54789219680362,3.09700599262441,0.5,0.151848151848152,0.042957042957043,1,1,1000
"small_balanced","Lambda0.5","ess_2",5.35551980924727,3.90839694656489,4.5940795934046,0.5,0.021978021978022,0.0569430569430569,1,1,1000
"small_balanced","Lambda0.5","K",0.847362770181724,1.19262552085112,0.983509616282484,0.5,0.343656343656344,0.176823176823177,1,1,1000
"small_balanced","Lambda0.5","Lambda",7.33137435857406e-05,0.999926686256414,0.585120583084878,0.5,0.350649350649351,0.454545454545455,1,1,1000
"small_balanced","Lambda0.5","max_offdiag_cor",0.613636363636364,0.75,0.767454448951735,0.5,0.014985014985015,0.689310689310689,1,1,1000
"small_balanced","Lambda0.5","mean_offdiag_cor",0.185907744137918,0.305692895598518,0.230699049734043,0.5,0.151848151848152,0.042957042957043,1,1,1000
"small_balanced","Lambda0.5","MoransI",-0.137922813557202,-0.0283973554236829,-0.0448095390955771,1,0.836163836163836,0.838161838161838,1,1,1000
"small_balanced","Lambda0.5","mpnns",0.439305724594261,0.633695081822973,0.509168595353524,0.5,0.250749250749251,0.0949050949050949,1,1,1000
"small_balanced","Lambda0.7","ess_1",3.61063411041019,2.54789219680362,3.15949533432461,0.5,0.117882117882118,0.02997002997003,1,1,1000
"small_balanced","Lambda0.7","ess_2",5.58373056496584,3.90839694656489,4.68608884359535,0.5,0.010989010989011,0.043956043956044,1,1,1000
"small_balanced","Lambda0.7","K",0.830397555927396,0.986061027802708,0.898724359307428,0.5,0.436563436563437,0.320679320679321,1,1,1000
"small_balanced","Lambda0.7","Lambda",7.33137435857406e-05,0.999926686256414,0.503353150985919,0.5,0.407592407592408,0.35964035964036,1,1,1000
"small_balanced","Lambda0.7","max_offdiag_cor",0.583333333333333,0.75,0.767860800349037,0.5,0.014985014985015,0.672327672327672,1,1,1000
"small_balanced","Lambda0.7","mean_offdiag_cor",0.173668184248712,0.305692895598518,0.223366241020202,0.5,0.117882117882118,0.02997002997003,1,1,1000
"small_balanced","Lambda0.7","MoransI",-0.156702681628151,-0.0310217245419286,-0.0674030641565107,1,0.864135864135864,0.85014985014985,1,1,1000
