"Analysis","Pool","N","s","Subset_Type","Metric","Observed","Baseline_Mean","Baseline_SD","Baseline_Q025","Baseline_Q975","SES","P_value","Tail","Covariance_Model","Covariance_Param"
"Cricetidae_C64","Cricetidae_C64",64,16,"clustered","MeanPD",23.348184098174,61.4606794964757,3.08464932712004,54.3662311416754,66.4067790211132,-12.3555358669846,0.000999000999000999,"lower",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,16,"clustered","MeanNND",16.1240923053013,28.3031236066337,3.54667569323946,21.2945078561724,34.7874478856648,-3.4339286573474,0.000999000999000999,"lower",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,16,"clustered","MaxPD",33.50320360756,77.4942572669722,0.326449682846244,76.025004658774,77.5667193762,-134.756000605863,0.000999000999000999,"lower",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,32,"dispersed","MinPD",25.5546364792,4.2540996391446,2.38256228360193,1.5347610462,10.3993909661,8.9401804883159,0.000999000999000999,"upper",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,32,"dispersed","MeanPD",63.3496772783017,61.2908036540881,1.74440840404769,57.4782596059895,64.2930432684118,1.18027041112406,0.113886113886114,"upper",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,32,"dispersed","MeanNND",32.161315679165,23.8596751510552,1.9103235774704,20.1622629368344,27.4047170639636,4.34567244314838,0.000999000999000999,"upper",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,32,"dispersed","MaxPD",77.5667193762,77.5667186463537,6.0947647130715e-07,77.5667172938,77.5667193762,1.19749705197128,0.227772227772228,"upper",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,32,"clustered","MinPD",4.7433371628,4.2540996391446,2.38256228360193,1.5347610462,10.3993909661,0.205340916803138,0.724275724275724,"lower",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,32,"clustered","MeanPD",37.5163551623865,61.2908036540881,1.74440840404769,57.4782596059895,64.2930432684118,-13.6289463158604,0.000999000999000999,"lower",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,32,"clustered","MeanNND",17.4315676822469,23.8596751510552,1.9103235774704,20.1622629368344,27.4047170639636,-3.3649312318703,0.001998001998002,"lower",NA,NA
"Cricetidae_C64","Cricetidae_C64",64,32,"clustered","MaxPD",41.8305773587,77.5667186463537,6.0947647130715e-07,77.5667172938,77.5667193762,-58634160.5788491,0.000999000999000999,"lower",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","MinPD",51.9531913811,17.9437919228602,7.8055307708725,4.4130902968725,32.8065178985075,4.3570899220782,0.000999000999000999,"upper",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","MeanPD",74.01591999894,61.3973184641603,5.62745573127845,47.2219651256784,69.3696510871996,2.24232799640576,0.000999000999000999,"upper",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","MeanNND",58.6523325426575,35.0438555484673,6.79515101185901,22.1690631284691,49.7806084629878,3.47431233728115,0.000999000999000999,"upper",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,8,"dispersed","MaxPD",77.5667202502,77.0512728898046,2.45753848141626,76.0250019128845,77.5667187893,0.209741318108799,0.001998001998002,"upper",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","MinPD",1.304499212,17.9437919228602,7.8055307708725,4.4130902968725,32.8065178985075,-2.13173110186846,0.003996003996004,"lower",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","MeanPD",7.17440449202857,61.3973184641603,5.62745573127845,47.2219651256784,69.3696510871996,-9.63542257129641,0.000999000999000999,"lower",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","MeanNND",5.0401845771875,35.0438555484673,6.79515101185901,22.1690631284691,49.7806084629878,-4.41545315459758,0.000999000999000999,"lower",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,8,"clustered","MaxPD",10.901147704,77.0512728898046,2.45753848141626,76.0250019128845,77.5667187893,-26.9172286359003,0.000999000999000999,"lower",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,16,"dispersed","MinPD",36.7732767275,10.0141542715212,4.77873095490349,1.5347610462,19.9936730393575,5.59962942222581,0.000999000999000999,"upper",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,16,"dispersed","MeanPD",68.9388754583333,61.6936486619123,3.00721230296283,54.6438147797856,66.5377665557388,2.409283438114,0.001998001998002,"upper",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,16,"dispersed","MeanNND",47.1411799453163,27.4732180692613,3.78904753254331,19.9908870293223,35.0395987981173,5.19074033965821,0.000999000999000999,"upper",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,16,"dispersed","MaxPD",77.5667202502,77.5050487170568,0.302264028811994,76.0250043364135,77.566719661,0.204031996084976,0.017982017982018,"upper",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,16,"clustered","MinPD",3.103427064,10.0141542715212,4.77873095490349,1.5347610462,19.9936730393575,-1.44614276734496,0.0729270729270729,"lower",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,16,"clustered","MeanPD",16.6318648654633,61.6936486619123,3.00721230296283,54.6438147797856,66.5377665557388,-14.9845701788505,0.000999000999000999,"lower",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,16,"clustered","MeanNND",9.017580295375,27.4732180692613,3.78904753254331,19.9908870293223,35.0395987981173,-4.87078549830131,0.000999000999000999,"lower",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,16,"clustered","MaxPD",20.2521795792,77.5050487170568,0.302264028811994,76.0250043364135,77.566719661,-189.413438849741,0.000999000999000999,"lower",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,32,"dispersed","MinPD",27.46987993066,5.11787856664497,2.65148190754039,1.304499212,10.901147967825,8.43000335037154,0.000999000999000999,"upper",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,32,"dispersed","MeanPD",63.9490190005535,61.629336655716,1.92121926942653,57.5182899954751,64.8732427826881,1.20740114455023,0.107892107892108,"upper",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,32,"dispersed","MeanNND",35.5177432198212,22.7947408689441,2.2393701225816,18.5757960789814,27.1357335889918,5.68150937738232,0.000999000999000999,"upper",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,32,"dispersed","MaxPD",77.5667202502,77.5667182922235,1.05994476390754e-06,77.56671615224,77.5667202502,1.84724388127366,0.0619380619380619,"upper",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,32,"clustered","MinPD",2.350576866,5.11787856664497,2.65148190754039,1.304499212,10.901147967825,-1.04368115534758,0.16983016983017,"lower",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,32,"clustered","MeanPD",24.0791319492167,61.629336655716,1.92121926942653,57.5182899954751,64.8732427826881,-19.5449865114604,0.000999000999000999,"lower",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,32,"clustered","MeanNND",11.7165557559781,22.7947408689441,2.2393701225816,18.5757960789814,27.1357335889918,-4.94700942968499,0.000999000999000999,"lower",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,32,"clustered","MaxPD",33.50320383966,77.5667182922235,1.05994476390754e-06,77.56671615224,77.5667202502,-41571519.529113,0.000999000999000999,"lower",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","MinPD",17.445125156,2.508870177218,1.25916852302439,1.304499212,5.5314089386,11.8619983788243,0.000999000999000999,"upper",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","MeanPD",62.4544177142074,61.6532900413631,1.10221270689957,59.3350818139159,63.4922909898339,0.726835816562015,0.25974025974026,"upper",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","MeanNND",26.3509203978494,18.5935816188118,1.21059422329297,16.0471150238976,20.8022660098129,6.40787691678935,0.000999000999000999,"upper",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,64,"dispersed","MaxPD",77.5667202502,77.5667192942684,7.68253076534522e-07,77.5667176204605,77.5667202502,1.24429260957171,0.244755244755245,"upper",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","MinPD",1.304499212,2.508870177218,1.25916852302439,1.304499212,5.5314089386,-0.956481156569277,0.263736263736264,"lower",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","MeanPD",37.3697848858621,61.6532900413631,1.10221270689957,59.3350818139159,63.4922909898339,-22.0315960825822,0.000999000999000999,"lower",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","MeanNND",13.909217315533,18.5935816188118,1.21059422329297,16.0471150238976,20.8022660098129,-3.8694751826395,0.000999000999000999,"lower",NA,NA
"Cricetidae_C128","Cricetidae_C128",128,64,"clustered","MaxPD",41.8305785232,77.5667192942684,7.68253076534522e-07,77.5667176204605,77.5667202502,-46516104.9953342,0.000999000999000999,"lower",NA,NA
"Cricetidae_C256","Cricetidae_C256",256,8,"dispersed","MinPD",51.9531940096,17.7509419916496,8.11635051786778,3.54918146138,33.5032013054525,4.21399395487611,0.000999000999000999,"upper",NA,NA
"Cricetidae_C256","Cricetidae_C256",256,8,"dispersed","MeanPD",74.015920824315,60.8011014121631,5.74237280332852,47.1917952075239,69.0917202721781,2.3012820422408,0.000999000999000999,"upper",NA,NA
"Cricetidae_C256","Cricetidae_C256",256,8,"dispersed","MeanNND",58.65233361247,34.2973891873622,6.88728141434008,21.1272818000057,47.4282746121056,3.53622031102114,0.000999000999000999,"upper",NA,NA
"Cricetidae_C256","Cricetidae_C256",256,8,"dispersed","MaxPD",77.5667202502,76.926759800027,2.92451830651945,76.025001998054,77.5667188751325,0.218825934085075,0.001998001998002,"upper",NA,NA
"Cricetidae_C256","Cricetidae_C256",256,8,"clustered","MinPD",1.304499212,17.7509419916496,8.11635051786778,3.54918146138,33.5032013054525,-2.02633471083383,0.00599400599400599,"lower",NA,NA
"Cricetidae_C256","Cricetidae_C256",256,8,"clustered","MeanPD",4.35427814679286,60.8011014121631,5.74237280332852,47.1917952075239,69.0917202721781,-9.82987785687674,0.000999000999000999,"lower",NA,NA
"Cricetidae_C256","Cricetidae_C256",256,8,"clustered","MeanNND",2.9752956817,34.2973891873622,6.88728141434008,21.1272818000057,47.4282746121056,-4.54781671044343,0.000999000999000999,"lower",NA,NA
"Cricetidae_C256","Cricetidae_C256",256,8,"clustered","MaxPD",5.5314091726,76.926759800027,2.92451830651945,76.025001998054,77.5667188751325,-24.4126871998954,0.000999000999000999,"lower",NA,NA
"Cricetidae_C256","Cricetidae_C256",256,16,"dispersed","MinPD",39.2475164428,9.5843825888396,4.60642829495538,1.7403364976,18.9081121371075,6.43950843356126,0.000999000999000999,"upper",NA,NA
"Cricetidae_C256","Cricetidae_C256",256,16,"dispersed","MeanPD",69.3264620696292,61.205516981429,3.33878668469932,53.653667218538,66.2535099438292,2.43230426352665,0.000999000999000999,"upper",NA,NA
"Cricetidae_C256","Cricetidae_C256",256,16,"dispersed","MeanNND",47.2610048792912,26.9147058952135,3.84661030608609,19.7880468887591,34.321254438399,5.28940999089144,0.000999000999000999,"upper",NA,NA
"Cricetidae_C256","Cricetidae_C256",256,16,"dispersed","MaxPD",77.5667202502,77.494256761767,0.326449648446213,76.0250041948275,77.566719377615,0.221974472258966,0.00599400599400599,"upper",NA,NA
"Cricetidae_C256","Cricetidae_C256",256,16,"clustered","MinPD",1.304499212,9.5843825888396,4.60642829495538,1.7403364976,18.9081121371075,-1.79746277303548,0.020979020979021,"lower",NA,NA
