Species,Actual OGT (°„C),Predicted OGT (°„C)
Shewanella_japonica_strain_KCTC_22435,22.5,19.85 
Shewanella_violacea_DSS12_strain_DSS12,4,10.49 
Sphingobacterium_siyangense_strain_PDNC006,33.5,23.40 
Sphingobium_fuliginis_ATCC_27551_strain_ATCC_27551,37,31.81 
Sphingomonas_ginsengisoli_An_et_al_2013_strain_KACC_16858,30,25.95 
Sphingomonas_lutea_strain_KCTC_23642,27.5,31.81 
Spiroplasma_eriocheiris_CCTCC_M_207170_strain_CCTCC_M_207170,30,32.47 
Spiroplasma_kunkelii_CR23x_strain_CR23x,31,31.32 
Spirosoma_montaniterrae_strain_DY10,30,20.31 
Spirosoma_radiotolerans_strain_DG5A,27.5,20.05 
Sporosarcina_globispora_DSM_4,15,28.59 
Staphylococcus_capitis_strain_BN2,35,31.76 
Staphylococcus_hyicus_strain_ATCC_11249,32.5,30.90 
Staphylococcus_saprophyticus_,31.5,29.97 
Staphylococcus_warneri_strain_221,35,31.51 
Streptococcus_halotolerans_HTS9,15,31.86 
Streptococcus_respiraculi_HTS25,15,23.11 
Streptomyces_alfalfae_strain_ACCC40021,37,25.91 
Streptomyces_ferrugineus_strain_CCTCC_AA2014009,32,27.13 
Streptomyces_harbinensis_strain_NA02264,30,27.10 
Streptomyces_ovatisporus_CGMCC_4.7357,10,27.17 
Streptomyces_solisilvae_strain_HNM0141,28,26.16 
Streptomyces_xinghaiensis_S187_strain_S187,28,28.49 
Subtercola_boreus_P28004,17,18.54 
Sulfitobacter_brevis_DSM_11443,14.5,21.17 
Sulfurospirillum_multivorans_DSM_12446_strain_DSM_12446,30,26.66 
Sulfurovum_lithotrophicum_strain_ATCC_BAA797,29,26.63 
Symbiobacterium_thermophilum_na,60,51.27 
Tabrizicola_aquatica_RCRI19,15,23.47 
Tenacibaculum_insulae_na,10,23.82 
Tepidiphilus_succinatimandens_DSM_15512,55,46.57 
Teredinibacter_turnerae_991H.S.0a.06,15,26.91 
Terriglobus_saanensis_SP1PR4_strain_SP1PR4,25,24.38 
Tetragenococcus_osmophilus_strain_JCM_31126,30,27.53 
Thermaerobacter_composti_Ins1,70,63.99 
Thermaurantimonas_aggregans_LA,50,42.74 
Thermoactinospora_rubra_YIM_77501,50,35.68 
Thermoanaerobacter_pentosaceus_DSM_25963,70,68.15 
Thermoanaerobacter_siderophilus_SR4_strain_SR4,70,65.21 
Thermoanaerobacter_uzonensis_AK85,61,63.50 
Thermoanaerobacter_wiegelii_Rt8B1_strain_Rt8B1,66.5,64.88 
Thermoanaerobacterium_thermosaccharolyticum_strain_TG57,58.5,59.12 
Thermoanaerobacterium_xylanolyticum_LX11_strain_LX11,60,59.61 
Thermobispora_bispora_DSM_43833_strain_DSM_43833,45,40.77 
Thermobrachium_celere_A9,65,55.04 
Thermodesulfobacterium_geofontis_OPF15_strain_OPF15,83,70.74 
Thermodesulfobium_narugense_DSM_14796_strain_DSM_14796,52.5,62.61 
Thermodesulforhabdus_norvegica_DSM_9990,60,55.83 
Thermodesulfovibrio_thiophilus_na,55,61.93 
Thermoflavifilum_aggregans_DSM_27268,60,48.76 
Thermogemmatispora_onikobensis_NBRC_111776,62.5,54.80 
Thermogutta_terrifontis_R1,57.5,54.24 
Thermosediminibacter_litoriperuensis_DSM_16647,64,63.86 
Thermosulfurimonas_dismutans_S95,74,67.91 
Thermotoga_caldifontis_na,70,70.24 
Thermotoga_maritima_MSB8_strain_MSB8,80,78.10 
Thermotoga_maritima_Tma200,80,79.48 
Thermovibrio_ammonificans_HB1_strain_HB1,75,70.78 
Thermus_brockianus_strain_GE1,70,66.18 
Thermus_sediminis_L198,65,66.11 
Thermus_tengchongensis_15W,65,64.74 
Thermus_thermophilus_HB27_strain_HB27,68.5,68.37 
Thermus_thermophilus_na,70,68.51 
Thermus_thermophilus_strain_AA220,68.5,68.14 
Thermus_thermophilus_strain_HB5008,68.5,68.41 
Thioclava_nitratireducens_strain_25B10_4,28,23.95 
Tistrella_bauzanensis_CGMCC_1.10188,15,34.97 
Ureaplasma_urealyticum_serovar_10_str_ATCC_33699_strain_ATCC_33699,32.5,32.19 
Ureibacillus_thermosphaericus_strain_A1,60,52.44 
Venenivibrio_stagnispumantis_DSM_18763,70,70.23 
Vibrio_breoganii_FF50,18.5,21.89 
Vibrio_diabolicus_strain_FA3,37.5,24.72 
Vibrio_metoecus_strain_062478,30,24.63 
Vibrio_pectenicida_CAIM_594,15,22.37 
Vibrio_spartinae_strain_36,26,26.07 
Virgibacillus_dokdonensis_21D,10,31.38 
Winogradskyella_haliclonae_CCM_8681,15,22.82 
Winogradskyella_sediminis_strain_RHA_55,30,20.88 
