"SubsetID","MinPD","MeanPD","MeanNND","MaxPD"
220,4.1555489376,66.1508250508745,21.002062427762,85.986490409
221,2.341049038,68.648739192173,14.824502342754,85.986491201
222,0.3306075148,61.6379483935945,15.999073487489,85.9864912672
223,2.928019428,67.9772701725698,17.924364095739,85.9864904399
224,1.0878226378,61.2706591299464,17.589951833688,85.9864901951
225,8.4578696044,66.2148274124744,24.089684884586,85.9864907635
226,3.00896199,67.0843654601384,15.667266222085,85.9864910484
227,2.070630254,69.0226070246934,22.025555443332,85.9864909521
228,4.5911790887,67.6706333258853,24.6453194203015,85.9864913909
229,5.6308779777,67.836106266837,20.388226002422,85.9864928776
230,0.5082199626,62.3742835875972,16.854275092647,85.9864916176
231,5.7769388405,66.3444621317317,24.861959533009,85.9864904127
232,2.0706304119,68.9354384964639,20.491700523275,85.9864905715
233,8.328799787,65.5931189469908,23.025236548124,85.9864912998
234,2.820517726,65.5528557045098,17.813056320576,85.9864914591
235,8.78228876,64.9516387004521,21.942172850795,85.986491616
236,2.46463612,65.886624764971,16.619246393605,85.9864907606
237,2.6205933702,68.0792028942744,17.9560091653835,85.9864910484
238,0.836406392,67.5354661145245,23.28480154736,85.9864912932
239,0.9168774012,66.9539630817123,15.767595915582,85.986491297
240,8.3287996922,68.0492779738014,22.589853900764,85.9864920886
241,1.0878226378,67.4256992844956,17.304403107774,85.9864909811
242,0.6488770492,66.9834650713235,14.822922607919,85.9864902519
243,4.3150125655,66.5766376131125,16.123545082154,85.9864915781
244,3.13275319,67.0319637475914,19.378398238554,85.9864909846
245,0.3465695404,65.569315379187,20.599538976259,85.9864904159
246,4.61471633334,66.6642183363512,18.2166739936,85.9864921863
247,8.7369759721,65.2929281706514,25.321001140577,85.9864906416
248,8.3287995034,65.2663431431896,25.654823635907,85.9864913011
249,3.0350250265,62.2595391129358,20.534090611595,85.9864913914
250,1.5782429274,67.4594117777105,19.354173494558,85.9864911116
251,4.138655654,67.3352665736529,18.022333473626,85.9864919266
252,5.6308780725,68.1990355532953,22.877370244953,85.9864911429
253,4.5911790887,66.7831431990656,22.625338597494,85.9864916165
254,4.138655654,67.1784299460194,16.978974740007,85.9864917087
255,2.711255442,62.742684765014,17.335771832231,85.9864906698
256,2.4373876922,63.7031841938161,21.328527522397,85.986490132
257,3.9020720006,65.239889874946,22.2174878525375,85.9864912956
258,2.525480646,67.5234195449387,17.582451227655,85.9864916185
259,2.7920379338,67.0312081114722,18.464836671198,85.9864920896
260,3.1019496303,66.5001550635511,17.145987365184,85.9864912932
261,4.5022652461,66.8756845975124,15.770396291457,85.9864918995
262,1.0865372736,64.1054740472868,17.64150065469,85.98649035
263,3.00896199,66.5072866883487,21.569417265392,85.9864908288
264,6.51100972755,66.0059131235609,21.788907420548,85.9864909541
265,1.1709612834,68.0950636605343,18.4471629088565,85.98649202
266,4.6331797891,66.1427311955435,22.9287242703115,85.9864907603
267,5.625664132,68.4521617091496,18.562410950934,85.9864903453
268,3.4395129,65.2802578280572,19.212937742397,85.986491396
269,8.2527794304,61.7285744581746,16.98280938746,85.9864913001
270,2.6168976316,63.0792575422966,18.9717359671975,85.986490952
271,1.1709612834,66.5687432775689,17.33850731479,85.9864914871
272,4.774554568,68.4146732563164,20.5162294422465,85.9864906703
273,3.9731533734,67.8099751438165,18.616052902148,85.9864912685
274,2.7920379338,66.8586021494572,20.198309522361,85.9864905066
275,2.0706303488,66.8490576869032,17.130218341673,85.9864908525
276,1.5782429905,64.6809474729444,17.374292719615,85.986490354
277,8.0208820795,66.3626027638508,27.705865089097,85.9864912656
278,7.1441113307,66.3323230467421,21.50264763596,85.9864909831
279,1.067974692,64.8026983704587,16.3894014181225,85.9864916181
280,4.61471633344,63.7404217962335,23.642178537421,85.9864921863
281,1.7292870404,66.695714778514,21.613422735969,85.9864914591
282,5.7769387766,66.0609229832537,21.12367984741,85.9864898811
283,0.3992397754,68.9205251535048,16.418976432651,85.9864911697
284,1.5782429274,68.2403722767955,17.777424194832,85.98649072504
