"N","s","Subset_Type","Metric","Observed","SES","P_value"
128,8,"clustered","MeanPD",7.17440449202857,-9.63542257129641,0.000999000999000999
128,8,"clustered","MeanNND",5.0401845771875,-4.41545315459758,0.000999000999000999
128,8,"clustered","MaxPD",10.901147704,-26.9172286359003,0.000999000999000999
128,16,"dispersed","MinPD",36.7732767275,5.59962942222581,0.000999000999000999
128,16,"dispersed","MeanPD",68.9388754583333,2.409283438114,0.001998001998002
128,16,"dispersed","MeanNND",47.1411799453163,5.19074033965821,0.000999000999000999
128,16,"dispersed","MaxPD",77.5667202502,0.204031996084976,0.017982017982018
128,16,"clustered","MinPD",3.103427064,-1.44614276734496,0.0729270729270729
128,16,"clustered","MeanPD",16.6318648654633,-14.9845701788505,0.000999000999000999
128,16,"clustered","MeanNND",9.017580295375,-4.87078549830131,0.000999000999000999
128,16,"clustered","MaxPD",20.2521795792,-189.413438849741,0.000999000999000999
128,32,"dispersed","MinPD",27.46987993066,8.43000335037154,0.000999000999000999
128,32,"dispersed","MeanPD",63.9490190005535,1.20740114455023,0.107892107892108
128,32,"dispersed","MeanNND",35.5177432198212,5.68150937738232,0.000999000999000999
128,32,"dispersed","MaxPD",77.5667202502,1.84724388127366,0.0619380619380619
128,32,"clustered","MinPD",2.350576866,-1.04368115534758,0.16983016983017
128,32,"clustered","MeanPD",24.0791319492167,-19.5449865114604,0.000999000999000999
128,32,"clustered","MeanNND",11.7165557559781,-4.94700942968499,0.000999000999000999
128,32,"clustered","MaxPD",33.50320383966,-41571519.529113,0.000999000999000999
128,64,"dispersed","MinPD",17.445125156,11.8619983788243,0.000999000999000999
128,64,"dispersed","MeanPD",62.4544177142074,0.726835816562015,0.25974025974026
128,64,"dispersed","MeanNND",26.3509203978494,6.40787691678935,0.000999000999000999
128,64,"dispersed","MaxPD",77.5667202502,1.24429260957171,0.244755244755245
128,64,"clustered","MinPD",1.304499212,-0.956481156569277,0.263736263736264
128,64,"clustered","MeanPD",37.3697848858621,-22.0315960825822,0.000999000999000999
128,64,"clustered","MeanNND",13.909217315533,-3.8694751826395,0.000999000999000999
128,64,"clustered","MaxPD",41.8305785232,-46516104.9953342,0.000999000999000999
256,8,"dispersed","MinPD",51.9531940096,4.21399395487611,0.000999000999000999
256,8,"dispersed","MeanPD",74.015920824315,2.3012820422408,0.000999000999000999
256,8,"dispersed","MeanNND",58.65233361247,3.53622031102114,0.000999000999000999
256,8,"dispersed","MaxPD",77.5667202502,0.218825934085075,0.001998001998002
256,8,"clustered","MinPD",1.304499212,-2.02633471083383,0.00599400599400599
256,8,"clustered","MeanPD",4.35427814679286,-9.82987785687674,0.000999000999000999
256,8,"clustered","MeanNND",2.9752956817,-4.54781671044343,0.000999000999000999
256,8,"clustered","MaxPD",5.5314091726,-24.4126871998954,0.000999000999000999
256,16,"dispersed","MinPD",39.2475164428,6.43950843356126,0.000999000999000999
256,16,"dispersed","MeanPD",69.3264620696292,2.43230426352665,0.000999000999000999
256,16,"dispersed","MeanNND",47.2610048792912,5.28940999089144,0.000999000999000999
256,16,"dispersed","MaxPD",77.5667202502,0.221974472258966,0.00599400599400599
256,16,"clustered","MinPD",1.304499212,-1.79746277303548,0.020979020979021
256,16,"clustered","MeanPD",8.19491477733,-15.8772054671929,0.000999000999000999
256,16,"clustered","MeanNND",5.040763720725,-5.68655008797737,0.000999000999000999
256,16,"clustered","MaxPD",11.3057899674,-202.752452359502,0.000999000999000999
256,32,"dispersed","MinPD",30.2889567257,9.86268666127905,0.000999000999000999
256,32,"dispersed","MeanPD",65.1396216525425,1.79726949134746,0.015984015984016
256,32,"dispersed","MeanNND",37.9014504543113,7.30393510181769,0.000999000999000999
256,32,"dispersed","MaxPD",77.5667202502,0.0548519722857392,0.016983016983017
256,32,"clustered","MinPD",1.9871640786,-1.08784057116317,0.13986013986014
256,32,"clustered","MeanPD",15.9917513874197,-20.3393833172403,0.000999000999000999
256,32,"clustered","MeanNND",7.663686719335,-6.40511902946322,0.000999000999000999
256,32,"clustered","MaxPD",20.2521793168,-679.360996397619,0.000999000999000999
256,64,"dispersed","MinPD",20.6871160515,13.1014789845467,0.000999000999000999
256,64,"dispersed","MeanPD",62.8503919942074,1.37037541195059,0.0599400599400599
256,64,"dispersed","MeanNND",28.4235382080088,8.4328880021819,0.000999000999000999
256,64,"dispersed","MaxPD",77.5667202502,1.67293313588469,0.0689310689310689
256,64,"clustered","MinPD",1.9871640786,-0.314243247374305,0.424575424575425
256,64,"clustered","MeanPD",23.4831075580493,-28.1575737831545,0.000999000999000999
256,64,"clustered","MeanNND",8.21464257821594,-7.38893863573471,0.000999000999000999
256,64,"clustered","MaxPD",33.50320451266,-56100705.1243609,0.000999000999000999
512,8,"dispersed","MinPD",53.5614111515,4.5833886126508,0.000999000999000999
512,8,"dispersed","MeanPD",74.2580418334293,2.24698651742549,0.000999000999000999
512,8,"dispersed","MeanNND",60.34718066517,3.87645189119593,0.000999000999000999
512,8,"dispersed","MaxPD",77.5667217162,0.182874037464167,0.001998001998002
512,8,"clustered","MinPD",0.715231599,-2.2914974389345,0.001998001998002
512,8,"clustered","MeanPD",4.1851579266,-10.1958358692687,0.000999000999000999
512,8,"clustered","MeanNND",2.653232724225,-4.99414897169604,0.000999000999000999
512,8,"clustered","MaxPD",5.6498281868,-22.8585047736394,0.000999000999000999
512,16,"dispersed","MinPD",40.8065467356,6.10005130513458,0.000999000999000999
512,16,"dispersed","MeanPD",71.4341880893167,2.98193122558187,0.000999000999000999
512,16,"dispersed","MeanNND",48.2519379634663,5.44148765769483,0.000999000999000999
