"N","s","Subset_Type","Covariance_Model","Covariance_Param_Label","Metric","Observed","SES","P_value"
128,8,"dispersed","EB","EB_r_-1","neff_mean",6.97576179910654,3.70073846190469,0.000999000999000999
128,8,"clustered","EB","EB_r_-1","off_mean",0.82872056506157,14.254895249897,0.000999000999000999
128,8,"clustered","EB","EB_r_-1","rmax",0.966785562821949,2.44618918651785,0.003996003996004
128,8,"clustered","EB","EB_r_-1","neff_mean",1.20496449404241,-5.22710277256935,0.000999000999000999
128,64,"dispersed","BM","BM","off_mean",0.194829684644442,-0.726835437726196,0.25974025974026
128,64,"dispersed","BM","BM","rmax",0.775095225229437,-11.8619982084362,0.000999000999000999
128,64,"dispersed","BM","BM","neff_mean",7.84836985017386,1.9067053222497,0.000999000999000999
128,64,"clustered","BM","BM","off_mean",0.518223973565296,22.031594726547,0.000999000999000999
128,64,"clustered","BM","BM","rmax",0.98318223017415,0.956481152220539,0.263736263736264
128,64,"clustered","BM","BM","neff_mean",1.95752226622591,-9.61264721764319,0.000999000999000999
128,64,"dispersed","lambda_BM","lambda=1","off_mean",0.194829684644442,-0.726835437726196,0.25974025974026
128,64,"dispersed","lambda_BM","lambda=1","rmax",0.775095225229437,-11.8619982084362,0.000999000999000999
128,64,"dispersed","lambda_BM","lambda=1","neff_mean",7.84836985017386,1.9067053222497,0.000999000999000999
128,64,"clustered","lambda_BM","lambda=1","off_mean",0.518223973565296,22.031594726547,0.000999000999000999
128,64,"clustered","lambda_BM","lambda=1","rmax",0.98318223017415,0.956481152220539,0.263736263736264
128,64,"clustered","lambda_BM","lambda=1","neff_mean",1.95752226622591,-9.61264721764319,0.000999000999000999
128,64,"dispersed","lambda_BM","lambda=0.75","off_mean",0.146122263483332,-0.726835437726196,0.25974025974026
128,64,"dispersed","lambda_BM","lambda=0.75","rmax",0.581321418922077,-11.8619982084362,0.000999000999000999
128,64,"dispersed","lambda_BM","lambda=0.75","neff_mean",9.52573227303303,1.98603246589183,0.002997002997003
128,64,"clustered","lambda_BM","lambda=0.75","off_mean",0.388667980173972,22.031594726547,0.000999000999000999
128,64,"clustered","lambda_BM","lambda=0.75","rmax",0.737386672630613,0.956481152220538,0.263736263736264
128,64,"clustered","lambda_BM","lambda=0.75","neff_mean",2.57196135368505,-10.3914697077738,0.000999000999000999
128,64,"dispersed","lambda_BM","lambda=0.5","off_mean",0.097414842322221,-0.726835437726196,0.25974025974026
128,64,"dispersed","lambda_BM","lambda=0.5","rmax",0.387547612614718,-11.8619982084362,0.000999000999000999
128,64,"dispersed","lambda_BM","lambda=0.5","neff_mean",12.4719427354402,2.03222567070215,0.00999000999000999
128,64,"clustered","lambda_BM","lambda=0.5","off_mean",0.259111986782648,22.031594726547,0.000999000999000999
128,64,"clustered","lambda_BM","lambda=0.5","rmax",0.491591115087075,0.956481152220539,0.263736263736264
128,64,"clustered","lambda_BM","lambda=0.5","neff_mean",3.76333720400114,-11.5587902500471,0.000999000999000999
128,64,"dispersed","lambda_BM","lambda=0.25","off_mean",0.0487074211611105,-0.726835437726196,0.25974025974026
128,64,"dispersed","lambda_BM","lambda=0.25","rmax",0.193773806307359,-11.8619982084362,0.000999000999000999
128,64,"dispersed","lambda_BM","lambda=0.25","neff_mean",19.2809336407188,1.95515841300059,0.021978021978022
128,64,"clustered","lambda_BM","lambda=0.25","off_mean",0.129555993391324,22.031594726547,0.000999000999000999
128,64,"clustered","lambda_BM","lambda=0.25","rmax",0.245795557543538,0.956481152220539,0.263736263736264
128,64,"clustered","lambda_BM","lambda=0.25","neff_mean",7.0643318349904,-13.6579920392581,0.000999000999000999
128,64,"dispersed","lambda_BM","lambda=0.1","off_mean",0.0194829684644442,-0.726835437726194,0.25974025974026
128,64,"dispersed","lambda_BM","lambda=0.1","rmax",0.0775095225229437,-11.8619982084362,0.000999000999000999
128,64,"dispersed","lambda_BM","lambda=0.1","neff_mean",31.3246247087865,1.58181692478404,0.051948051948052
128,64,"clustered","lambda_BM","lambda=0.1","off_mean",0.0518223973565296,22.031594726547,0.000999000999000999
128,64,"clustered","lambda_BM","lambda=0.1","rmax",0.098318223017415,0.956481152220544,0.263736263736264
128,64,"clustered","lambda_BM","lambda=0.1","neff_mean",15.0789055602419,-15.8815978869725,0.000999000999000999
128,64,"dispersed","lambda_BM","lambda=0","off_mean",0,NA,1
128,64,"dispersed","lambda_BM","lambda=0","rmax",0,NA,1
128,64,"dispersed","lambda_BM","lambda=0","neff_mean",64,NA,1
128,64,"clustered","lambda_BM","lambda=0","off_mean",0,NA,1
128,64,"clustered","lambda_BM","lambda=0","rmax",0,NA,1
128,64,"clustered","lambda_BM","lambda=0","neff_mean",64,NA,1
128,64,"dispersed","OU","half_life_frac=0.05","off_mean",1.62671883718666e-05,-2.6781533506514,0.000999000999000999
128,64,"dispersed","OU","half_life_frac=0.05","rmax",0.0019582892435857,-2.71850220023209,0.000999000999000999
128,64,"dispersed","OU","half_life_frac=0.05","neff_mean",63.9345634145243,3.39041596133987,0.000999000999000999
128,64,"clustered","OU","half_life_frac=0.05","off_mean",0.00248990745355266,3.76158602646095,0.000999000999000999
128,64,"clustered","OU","half_life_frac=0.05","rmax",0.627326862224783,1.11942862162019,0.263736263736264
128,64,"clustered","OU","half_life_frac=0.05","neff_mean",57.9437531307155,-3.28345506695932,0.000999000999000999
128,64,"dispersed","OU","half_life_frac=0.1","off_mean",0.00110976639555434,-3.75150315009762,0.000999000999000999
128,64,"dispersed","OU","half_life_frac=0.1","rmax",0.0442516505370391,-4.61168754185205,0.000999000999000999
128,64,"dispersed","OU","half_life_frac=0.1","neff_mean",59.9334573596036,5.5833529925691,0.000999000999000999
